,S1,S1,S1,S1,S1,S1,S1,S1,S1,S2,S2,S2,S2,S2,S2,S2,S2,S2,S3,S3,S3,S3,S3,S3,S3,S3,S3,,,,,,,,,,,,,
,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,H1,H2,H3,I1,I2,I3,,,,,,,,,,,,,
Hildenbrandia rubra (R),1.2,3,1.3,2.8,5.8,0.5,11,3,0,1,0.5,8,6,3.5,3,5,7,6,30,21,19,16.5,40,15,30,35,30,,,,,,,,,,,,,
Peyssonnelia polymorpha (R),0,0,0,0,0,0,10.5,22,5.5,0,0,0,0,2,7,0,1,3.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Peyssonnelia rosa-marina (R),0,3,0,19,5,2,13,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Peyssonnelia squamaria (R),1.3,6,1.3,0,0,0,11.5,12.7,2,1,0,0.2,7,4,0,7.5,46.5,13.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Osmundea truncata (R),0,0,0,0,0,0,2,0,0,0.05,0.3,0.3,0,0,0,0,0,0,20,0.9,5,0.1,1.5,7,3.5,0.8,3.5,,,,,,,,,,,,,
Dictyota dichotoma (O),3,0.3,3,8,1.5,16,11.5,10.3,1.2,5,0,2,0,0,1.3,1.5,2,0.3,53,32,24.5,65,65,78,38,10,32,,,,,,,,,,,,,
Lobophora variegata (O),6.3,7,0,1,2.3,0,13.5,0.3,2,5,16,12,11,26,5.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Padina pavonica (O),2,1,3.3,4.5,0.2,2,1,0,1,0.1,3.5,4.5,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Cystoseira amentacea var. stricta (O),0,0,0,4,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sargassum vulgare (O),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4.5,100,36,50,,,,,,,,,,,,,
Cladostephus spongiosus (O),0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,1,2,3.5,13.5,3,,,,,,,,,,,,,
Sphacelaria tribuloides (O),13.4,5.2,1.2,5.3,1.5,0.8,2.5,0.3,2.8,0.3,2,4.5,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Stypocaulon scoparium (O),8,12.5,1.5,6,0.5,1,0.2,0,2.3,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,1.3,0,0,,,,,,,,,,,,,
Flabellia petiolata (C),0,54,23,2,42,0,24,38,0,68,0,14,100,51,50,158,55,100,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Valonia utricularis (C),25,25,100,22,12,14.5,27.5,22,8.5,6,7,6.8,0.8,0.3,0.5,0.8,0.5,0.4,0,0,0,0.05,1,0,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphacelaria tribuloides (O),25.0424050632911,25.0164556962025,25.0037974683544,25.0167721518987,25.004746835443,25.0025316455696,25.0079113924051,25.0009493670886,25.0088607594937,25.0009493670886,25.0063291139241,25.0142405063291,25.003164556962,25.0009493670886,25,25,25,25,25,25,25,25,25,25,25,25,25,,,,,,,,,,,,,
Amphiroa rigida (R),24.9575949367089,24.9835443037975,24.9962025316456,24.9832278481013,24.995253164557,24.9974683544304,24.9920886075949,24.9990506329114,24.9911392405063,24.9990506329114,24.9936708860759,24.9857594936709,24.996835443038,24.9990506329114,25,25,25,25,25,25,25,25,25,25,25,25,25,,,,,,,,,,,,,
Stypocaulon scoparium (O),24.0411392405063,24.0490506329114,24.0395569620253,24.0174050632911,24.0395569620253,24.0063291139241,24.0395569620253,24.0189873417722,24.0411392405063,24.003164556962,24.0205696202532,24.0126582278481,24.003164556962,24,24.003164556962,24.0268987341772,24.0158227848101,24.0158227848101,24,24,24,24,24,24,24,24,24,,,,,,,,,,,,,
Valonia utricularis (C),23.9588607594937,23.9509493670886,23.9604430379747,23.9825949367089,23.9604430379747,23.9936708860759,23.9604430379747,23.9810126582278,23.9588607594937,23.996835443038,23.9794303797468,23.9873417721519,23.996835443038,24,23.996835443038,23.9731012658228,23.9841772151899,23.9841772151899,24,24,24,24,24,24,24,24,24,,,,,,,,,,,,,
Jania rubens (R),23.0253164556962,23.0395569620253,23.004746835443,23.0189873417722,23.001582278481,23.003164556962,23.0006329113924,23,23.0072784810127,23,23.0063291139241,23,23,23.0158227848101,23.0063291139241,23,23,23,23,23,23,23,23,23,23.0041139240506,23,23,,,,,,,,,,,,,
Padina pavonica (O),22.9746835443038,22.9604430379747,22.995253164557,22.9810126582278,22.998417721519,22.996835443038,22.9993670886076,23,22.9927215189873,23,22.9936708860759,23,23,22.9841772151899,22.9936708860759,23,23,23,23,23,23,23,23,23,22.9958860759494,23,23,,,,,,,,,,,,,
Lithophyllum sp. (R),22.0791139240506,22.0791139240506,22.3164556962025,22.0696202531646,22.0379746835443,22.0458860759494,22.0870253164557,22.0696202531646,22.0268987341772,22.0189873417722,22.0221518987342,22.0215189873418,22.0025316455696,22.0009493670886,22.001582278481,22.0025316455696,22.001582278481,22.0012658227848,22,22,22,22.0001582278481,22.003164556962,22,22,22,22,,,,,,,,,,,,,
Cystoseira amentacea var. stricta (O),21.9208860759494,21.9208860759494,21.6835443037975,21.9303797468354,21.9620253164557,21.9541139240506,21.9129746835443,21.9303797468354,21.9731012658228,21.9810126582278,21.9778481012658,21.9784810126582,21.9974683544304,21.9990506329114,21.998417721519,21.9974683544304,21.998417721519,21.9987341772152,22,22,22,21.9998417721519,21.996835443038,22,22,22,22,,,,,,,,,,,,,
Corallina elongata (R),21.3291139240506,21.2689873417722,21.3417721518987,21.3670886075949,21.126582278481,21.2848101265823,21.0553797468354,21.0965189873418,21.1012658227848,21.0348101265823,21.0632911392405,21.0949367088608,21.0110759493671,21.0284810126582,21.0474683544304,21,21.0009493670886,21.0063291139241,21,21,21,21,21,21,21,21,21,,,,,,,,,,,,,
Phymatolithon cfr lenormandii (R),20.6708860759494,20.7310126582278,20.6582278481013,20.6329113924051,20.873417721519,20.7151898734177,20.9446202531646,20.9034810126582,20.8987341772152,20.9651898734177,20.9367088607595,20.9050632911392,20.9889240506329,20.9715189873418,20.9525316455696,21,20.9990506329114,20.9936708860759,21,21,21,21,21,21,21,21,21,,,,,,,,,,,,,
Peyssonnelia polymorpha (R),20.0063291139241,20.003164556962,20.0104430379747,20.0142405063291,20.0006329113924,20.0063291139241,20.003164556962,20,20.003164556962,20.0003164556962,20.0110759493671,20.0142405063291,20.0003164556962,20,20.0003164556962,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,
Neogoniolithon brassica-florida (R),19.9936708860759,19.996835443038,19.9895569620253,19.9857594936709,19.9993670886076,19.9936708860759,19.996835443038,20,19.996835443038,19.9996835443038,19.9889240506329,19.9857594936709,19.9996835443038,20,19.9996835443038,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,
Mesophyllum sp. (R),19.0110759493671,19.0063291139241,19.0174050632911,19.0053797468354,19.0284810126582,19,19,19,19.0079113924051,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,,,,,,,,,,,,
Peyssonnelia rosa-marina (R),18.9889240506329,18.9936708860759,18.9825949367089,18.9946202531646,18.9715189873418,19,19,19,18.9920886075949,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,,,,,,,,,,,,
Lobophora variegata (O),18,18,18,18.0126582278481,18,18.0332278481013,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,,,,,,,,,,,,
Lithophyllum incrustans (R),18,18,18,17.9873417721519,18,17.9667721518987,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,,,,,,,,,,,,
Hydrolithon cruciatum (R),17,17.001582278481,17.0001582278481,17,17,17,17.0009493670886,17.0506329113924,17,17,17,17,17,17,17,17.004746835443,17.0079113924051,17,17,17,17,17,17,17,17,17,17,,,,,,,,,,,,,
Flabellia petiolata (C),17,16.998417721519,16.9998417721519,17,17,17,16.9990506329114,16.9493670886076,17,17,17,17,17,17,17,16.995253164557,16.9920886075949,17,17,17,17,17,17,17,17,17,17,,,,,,,,,,,,,
Peyssonnelia squamaria (R),16.0373417721519,16.0136075949367,16.0474683544304,16,16.001582278481,16.0379746835443,16.0237341772152,16.0601265822785,16,16,16.0094936708861,16,16,16,16.0110759493671,16.0253164556962,16.0189873417722,16.0189873417722,16,16,16,16,16,16,16,16,16,,,,,,,,,,,,,
Chondracanthus acicularis (R),15.9626582278481,15.9863924050633,15.9525316455696,16,15.998417721519,15.9620253164557,15.9762658227848,15.9398734177215,16,16,15.9905063291139,16,16,16,15.9889240506329,15.9746835443038,15.9810126582278,15.9810126582278,16,16,16,16,16,16,16,16,16,,,,,,,,,,,,,
Osmundea truncata (R),15,15,15,15,15,15,15.0332278481013,15.0696202531646,15.0174050632911,15,15,15,15,15.0063291139241,15.0221518987342,15,15.003164556962,15.0110759493671,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,
Hildenbrandia rubra (R),15,15,15,15,15,15,14.9667721518987,14.9303797468354,14.9825949367089,15,15,15,15,14.9936708860759,14.9778481012658,15,14.996835443038,14.9889240506329,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,
Dictyota dichotoma (O),14.0009493670886,14.0079113924051,14.0174050632911,14.0120253164557,14.0126582278481,14,14,14,14.0316455696203,14.003164556962,14,14.003164556962,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,
Sargassum vulgare (O),13.9990506329114,13.9920886075949,13.9825949367089,13.9879746835443,13.9873417721519,14,14,14,13.9683544303797,13.996835443038,14,13.996835443038,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,
Cladostephus spongiosus (O),13,13,13,13,13,13,13.0253164556962,13.0268987341772,13,13.0063291139241,13.0221518987342,13.0822784810127,13,13.0205696202532,13,13,13,13,13,13,13,13,13,13,13,13,13,,,,,,,,,,,,,
,13,13,13,13,13,13,12.9746835443038,12.9731012658228,13,12.9936708860759,12.9778481012658,12.9177215189873,13,12.9794303797468,13,13,13,13,13,13,13,13,13,13,13,13,13,,,,,,,,,,,,,
,12,12.0094936708861,12,12.0601265822785,12.0158227848101,12.0063291139241,12.0411392405063,12,12,12,12,12,12.0696202531646,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,
,12,11.9905063291139,12,11.9398734177215,11.9841772151899,11.9936708860759,11.9588607594937,12,12,12,12,12,11.9303797468354,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,
,11.0199367088608,11.0221518987342,11,11.003164556962,11.0072784810127,11,11.0427215189873,11.0009493670886,11.0063291139241,11.0158227848101,11.0506329113924,11.0379746835443,11.0348101265823,11.0822784810127,11.0174050632911,11,11,11,11,11,11,11,11,11,11,11,11,,,,,,,,,,,,,
,10.9800632911392,10.9778481012658,11,10.996835443038,10.9927215189873,11,10.9572784810127,10.9990506329114,10.9936708860759,10.9841772151899,10.9493670886076,10.9620253164557,10.9651898734177,10.9177215189873,10.9825949367089,11,11,11,11,11,11,11,11,11,11,11,11,,,,,,,,,,,,,
,10,10,10,10,10,10,10,10,10,10,10,10,10.0126582278481,10,10.0221518987342,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,
,10,10,10,10,10,10,10,10,10,10,10,10,9.9873417721519,10,9.97784810126582,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,
,9.0126582278481,9.01107594936709,9.01329113924051,9.00316455696203,9.01582278481013,9.0003164556962,9.00379746835443,9.0120253164557,9,9.04303797468354,9.0003164556962,9.0001582278481,9.03164556962025,9.09651898734177,9.07911392405063,9.15664556962025,9.0253164556962,9.09493670886076,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,
,8.9873417721519,8.98892405063291,8.98670886075949,8.99683544303797,8.98417721518987,8.9996835443038,8.99620253164557,8.9879746835443,9,8.95696202531646,8.9996835443038,8.9998417721519,8.96835443037975,8.90348101265823,8.92088607594937,8.84335443037975,8.9746835443038,8.90506329113924,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,
,8,8.17088607594937,8.07278481012658,8.00632911392405,8.13291139240506,8,8.07594936708861,8.12025316455696,8,8.21518987341772,8,8.04430379746835,8.31645569620253,8.16139240506329,8.15822784810127,8.5,8.17405063291139,8.31645569620253,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,
,8,7.82911392405063,7.92721518987342,7.99367088607595,7.86708860759494,8,7.92405063291139,7.87974683544304,8,7.78481012658228,8,7.95569620253165,7.68354430379747,7.83860759493671,7.84177215189873,7.5,7.82594936708861,7.68354430379747,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,
,7.00411392405063,7.01898734177215,7.00411392405063,7,7,7,7.03639240506329,7.04018987341772,7.00632911392405,7.00316455696203,7,7.00063291139241,7.02215189873418,7.0126582278481,7,7.02373417721519,7.14715189873418,7.04272151898734,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,
,6.99588607594937,6.98101265822785,6.99588607594937,7,7,7,6.96360759493671,6.95981012658228,6.99367088607595,6.99683544303797,7,6.99936708860759,6.97784810126582,6.9873417721519,7,6.97626582278481,6.85284810126582,6.95727848101266,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,
,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.06012658227848,6.00949367088608,6.04746835443038,6.00791139240506,6.00949367088608,6.00632911392405,6,6.0003164556962,6,,,,,,,,,,,,,
,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.93987341772152,5.99050632911392,5.95253164556962,5.99208860759494,5.99050632911392,5.99367088607595,6,5.9996835443038,6,,,,,,,,,,,,,
,5,5,5,5,5,5,5.00632911392405,5,5,5.0001582278481,5.00094936708861,5.00094936708861,5,5,5,5,5,5,5.06329113924051,5.00284810126582,5.01582278481013,5.0003164556962,5.00474683544304,5.02215189873418,5.01107594936709,5.00253164556962,5.01107594936709,,,,,,,,,,,,,
,5,5,5,5,5,5,4.99367088607595,5,5,4.9998417721519,4.99905063291139,4.99905063291139,5,5,5,5,5,5,4.93670886075949,4.99715189873418,4.98417721518987,4.9996835443038,4.99525316455696,4.97784810126582,4.98892405063291,4.99746835443038,4.98892405063291,,,,,,,,,,,,,
,4.00379746835443,4.00949367088608,4.00411392405063,4.00886075949367,4.01835443037975,4.00158227848101,4.03481012658228,4.00949367088608,4,4.00316455696203,4.00158227848101,4.0253164556962,4.01898734177215,4.01107594936709,4.00949367088608,4.01582278481013,4.02215189873418,4.01898734177215,4.09493670886076,4.06645569620253,4.06012658227848,4.05221518987342,4.12658227848101,4.04746835443038,4.09493670886076,4.11075949367089,4.09493670886076,,,,,,,,,,,,,
,3.99620253164557,3.99050632911392,3.99588607594937,3.99113924050633,3.98164556962025,3.99841772151899,3.96518987341772,3.99050632911392,4,3.99683544303797,3.99841772151899,3.9746835443038,3.98101265822785,3.98892405063291,3.99050632911392,3.98417721518987,3.97784810126582,3.98101265822785,3.90506329113924,3.93354430379747,3.93987341772152,3.94778481012658,3.87341772151899,3.95253164556962,3.90506329113924,3.88924050632911,3.90506329113924,,,,,,,,,,,,,
,3.00949367088608,3.00094936708861,3.00949367088608,3.0253164556962,3.00474683544304,3.05063291139241,3.03639240506329,3.03259493670886,3.00379746835443,3.01582278481013,3,3.00632911392405,3,3,3.00411392405063,3.00474683544304,3.00632911392405,3.00094936708861,3.16772151898734,3.10126582278481,3.07753164556962,3.20569620253165,3.20569620253165,3.24683544303797,3.12025316455696,3.03164556962025,3.10126582278481,,,,,,,,,,,,,
,2.99050632911392,2.99905063291139,2.99050632911392,2.9746835443038,2.99525316455696,2.94936708860759,2.96360759493671,2.96740506329114,2.99620253164557,2.98417721518987,3,2.99367088607595,3,3,2.99588607594937,2.99525316455696,2.99367088607595,2.99905063291139,2.83227848101266,2.89873417721519,2.92246835443038,2.79430379746835,2.79430379746835,2.75316455696203,2.87974683544304,2.96835443037975,2.89873417721519,,,,,,,,,,,,,
,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.02848101265823,2.01424050632911,2.31645569620253,2.11392405063291,2.15822784810127,,,,,,,,,,,,,
,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.97151898734177,1.98575949367089,1.68354430379747,1.88607594936709,1.84177215189873,,,,,,,,,,,,,
,1,1,1,1,1,1,1,1,1.00063291139241,1,1,1,1,1,1,1,1,1,1.0001582278481,1,1,1.0001582278481,1.00316455696203,1.00632911392405,1.01107594936709,1.04272151898734,1.00949367088608,,,,,,,,,,,,,
,1,1,1,1,1,1,1,1,0.999367088607595,1,1,1,1,1,1,1,1,1,0.999841772151899,1,1,0.999841772151899,0.996835443037975,0.993670886075949,0.988924050632911,0.957278481012658,0.990506329113924,,,,,,,,,,,,,
